songid,week,total_weeks,cum_week,performer,song,genre,trackid,url,album,explicit,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
SugeDaBaby,14,35,1,DaBaby,Suge,"['nc hip hop', 'rap']",2gwkD6igEhQbDQegRCcdoB,,Baby On Baby,TRUE,163320,88,0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,4
Old Town RoadLil Nas X Featuring Billy Ray Cyrus,10,42,1,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,"['country rap', 'lgbtq+ hip hop', 'pop rap']",2YpeDb67231RjR0MgVLzsG,https://p.scdn.co/mp3-preview/d94ec2ebe62fd52cf038760f57c251c145346bb2?cid=b8d3901151d34489a160e3cf0ab1fa94,7 EP,FALSE,157066,91,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
Going BadMeek Mill Featuring Drake,0,34,1,Meek Mill Featuring Drake,Going Bad,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2IRZnDFmlqMuOrYOLnZZyc,https://p.scdn.co/mp3-preview/29e19c68dd853994221a90103db28427f1185e33?cid=b8d3901151d34489a160e3cf0ab1fa94,Championships,TRUE,180522,87,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
Shotta FlowNLE Choppa,17,20,1,NLE Choppa,Shotta Flow,['memphis hip hop'],67XyC1GdSkKb9sbRRkUDXS,https://p.scdn.co/mp3-preview/d2c7eadbe6a669d19ee61ed31e27cd1eba007ce4?cid=b8d3901151d34489a160e3cf0ab1fa94,Shotta Flow (Feat. Blueface,TRUE,176631,83,0.894,0.511,2,-4.768,1,0.42,0.0251,0,0.14,0.568,120.08,4
Drip Too HardLil Baby & Gunna,0,21,1,Lil Baby & Gunna,Drip Too Hard,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",78QR3Wp35dqAhFEc2qAGjE,,Drip Harder,TRUE,145542,86,0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,4
BabyLil Baby & DaBaby,30,20,1,Lil Baby & DaBaby,Baby,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",78QR3Wp35dqAhFEc2qAGjE,,Drip Harder,TRUE,145542,85,0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,4
My TypeSaweetie,27,20,1,Saweetie,My Type,"['cali rap', 'pop', 'pop rap', 'trap queen']",5KBARWIxeMGkvUax9VtVC9,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=b8d3901151d34489a160e3cf0ab1fa94,ICY,TRUE,126446,81,0.899,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038,4
TalkKhalid,7,43,1,Khalid,Talk,"['alternative r&b', 'pop']",6TqXcAFInzjp0bODyvrWEq,https://p.scdn.co/mp3-preview/2fb54a9c23ec3124319df5739aa081bf9183fa8b?cid=b8d3901151d34489a160e3cf0ab1fa94,Free Spirit,FALSE,197573,84,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,4
Bury A FriendBillie Eilish,5,20,1,Billie Eilish,Bury A Friend,"['electropop', 'pop']",4SSnFejRGlZikf02HLewEF,,WHEN WE ALL FALL ASLEE,FALSE,193143,88,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,4
ThotianaBlueface,3,20,1,Blueface,Thotiana,"['cali rap', 'trap']",3oh6SCCeLuXhFpEyepla6G,https://p.scdn.co/mp3-preview/86190aba97b38d4906c5312cad98263f26fbd0a5?cid=b8d3901151d34489a160e3cf0ab1fa94,Famous Cryp,TRUE,129264,80,0.906,0.382,10,-12.89,0,0.269,0.18,0,0.113,0.391,104.025,4
CloutOffset Featuring Cardi B,9,20,1,Offset Featuring Cardi B,Clout,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",59ywHNwwchG4nZJMLyxSzd,,FATHER OF 4,TRUE,205803,80,0.919,0.622,1,-7.384,1,0.0997,0.228,4.24E-06,0.122,0.424,140.022,4
Cash ShitMegan Thee Stallion Featuring DaBaby,26,20,1,Megan Thee Stallion Featuring DaBaby,Cash Shit,"['houston rap', 'pop', 'pop rap', 'trap queen']",2rMAtCaTj16NptyVfEIeAC,https://p.scdn.co/mp3-preview/887df8fd3f1a55e6b707e48ac3760d6e8c118184?cid=b8d3901151d34489a160e3cf0ab1fa94,Fever,TRUE,192539,81,0.921,0.635,1,-4.904,1,0.416,0.0218,0,0.0946,0.549,130.028,4
Act UpCity Girls,10,21,1,City Girls,Act Up,"['pop', 'pop rap', 'trap queen']",3A2yGHWIzmGEIolwonU69h,,Girl Code,TRUE,158332,80,0.938,0.638,8,-4.713,1,0.189,0.0167,0,0.111,0.313,97.075,4
